
#### 20250723_16.36.48 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'
read map 'packages\maps\official\ac_power': cgz 14636 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 33, ents 746, x 70:220, y 29:248, z -2:24, layout 1772 bytes, spawns 6:6:16, flags 1:1
read map 'packages\maps\official\ac_rampart': cgz 10799 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 102, ents 205, x 67:169, y 64:184, z -1:39, layout 1461 bytes, spawns 9:9:20, flags 1:1
read map 'packages\maps\official\ac_rattrap': cgz 13124 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 50, ents 748, x 79:188, y 54:172, z -2:24, layout 1183 bytes, spawns 8:9:26, flags 0:0
read map 'packages\maps\official\ac_scaffold': cgz 10942 bytes, cfg 0 bytes (0 gz), version 10, size 7, rev 18, ents 314, x 9:121, y 18:108, z -5:25, layout 1175 bytes, spawns 9:9:6, flags 0:0
read map 'packages\maps\official\ac_shine': cgz 20348 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 36, ents 485, x 72:209, y 43:201, z -8:27, layout 2472 bytes, spawns 6:5:24, flags 1:1
read map 'packages\maps\official\ac_snow': cgz 9934 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 21, ents 274, x 7:117, y 10:149, z -3:21, layout 1335 bytes, spawns 6:6:9, flags 0:0
read map 'packages\maps\official\ac_stellar': cgz 39911 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 57, ents 1349, x 53:238, y 41:203, z -16:19, layout 3485 bytes, spawns 10:10:39, flags 1:1
read map 'packages\maps\official\ac_sunset': cgz 23777 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 22, ents 394, x 70:220, y 45:186, z -7:21, layout 3047 bytes, spawns 9:10:29, flags 1:1
read map 'packages\maps\official\ac_swamp': cgz 23987 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 179, ents 656, x 85:236, y 102:247, z -9:24, layout 2325 bytes, spawns 10:10:15, flags 1:1
read map 'packages\maps\official\ac_terros': cgz 23789 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 108, ents 638, x 24:233, y 45:221, z -13:19, layout 2871 bytes, spawns 10:9:25, flags 1:1
read map 'packages\maps\official\ac_toxic': cgz 18315 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 105, ents 923, x 58:188, y 49:185, z -5:21, layout 1894 bytes, spawns 11:11:21, flags 0:0
read map 'packages\maps\official\ac_urban': cgz 14434 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 20, ents 640, x 43:203, y 31:163, z -19:18, layout 1970 bytes, spawns 15:14:23, flags 1:1
read map 'packages\maps\official\ac_venison': cgz 47375 bytes, cfg 0 bytes (0 gz), version 10, size 9, rev 427, ents 900, x 125:357, y 171:363, z -8:22, layout 3468 bytes, spawns 10:10:20, flags 1:1
read map 'packages\maps\official\ac_wasteland': cgz 13505 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 66, ents 563, x 45:215, y 64:184, z -6:18, layout 1286 bytes, spawns 10:10:15, flags 0:0
read map 'packages\maps\official\ac_werk': cgz 19793 bytes, cfg 0 bytes (0 gz), version 10, size 8, rev 30, ents 505, x 71:183, y 72:185, z -1:26, layout 1693 bytes, spawns 20:20:20, flags 1:1

#### 20250723_16.52.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_16.53.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_16.54.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_16.55.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_16.56.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_16.57.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_16.58.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_16.59.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.00.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.01.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.02.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.03.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.04.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.05.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.06.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.07.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.08.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.09.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.10.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.11.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.12.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.13.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.14.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.15.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.16.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.17.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.18.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.19.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

#### 20250723_17.20.59 #### scanning all map directories... found 44 official maps, 0 servermaps and 0 maps in 'incoming'

